Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Ronald Acuña Jr.,ATL,Ronald Acuna Jr. (ATL),35,119,92,51,0.401,0,0,0,0,0,0,1.04,1,3,0,0,0,0,0,0,1,1,0
Mookie Betts,LAD,Mookie Betts (LAD),33,111,94,13,0.378,0,0,0,0,0,0,4.84,2,11,0,0,1,0,1,1,1,1,0
Aaron Judge,NYY,Aaron Judge (NYY),43,100,106,6,0.393,0,0,0,0,0,0,13.59,8,21,0,0,0,0,0,0,1,1,0
Juan Soto,NYY,Juan Soto (NYY),37,105,100,11,0.419,0,0,0,0,0,0,9.43,3,15,0,0,0,0,0,0,1,1,0
Yordan Alvarez,HOU,Yordan Alvarez (HOU),38,95,105,1,0.396,0,0,0,0,0,0,15.83,12,22,0,0,0,0,0,0,1,1,0
Julio Rodríguez,SEA,Julio Rodriguez (SEA),31,99,91,32,0.344,0,0,0,0,0,0,3.31,2,8,0,0,0,0,0,0,1,1,0
José Ramírez,CLE,Jose Ramirez (CLE),27,90,94,24,0.354,0,0,0,0,0,0,15.75,11,23,0,0,0,1,0,1,0,1,0
Corey Seager,TEX,Corey Seager (TEX),30,85,90,3,0.365,0,0,0,0,0,0,30.2,16,51,0,0,0,0,1,1,0,1,0
Adley Rutschman,BAL,Adley Rutschman (BAL),18,78,69,2,0.367,0,0,0,0,0,0,54.61,33,81,1,0,0,0,0,0,0,1,0
Gunnar Henderson,BAL,Gunnar Henderson (BAL),26,88,83,12,0.34,0,0,0,0,0,0,29.88,16,42,0,0,0,1,1,1,0,1,0
Freddie Freeman,LAD,Freddie Freeman (LAD),26,109,96,15,0.39,0,0,0,0,0,0,9.23,3,16,0,1,0,0,0,1,0,1,0
Fernando Tatis Jr.,SDP,Fernando Tatis Jr. (SDP),33,98,93,28,0.346,0,0,0,0,0,0,8.18,4,14,0,0,0,0,0,0,1,1,0
Bobby Witt Jr.,KCR,Bobby Witt Jr. (KCR),29,98,89,41,0.326,0,0,0,0,0,0,2.68,1,6,0,0,0,0,1,1,0,1,0
Corbin Carroll,ARI,Corbin Carroll (ARI),23,101,76,45,0.357,0,0,0,0,0,0,6.31,2,11,0,0,0,0,0,0,1,1,0
Kyle Tucker,HOU,Kyle Tucker (HOU),31,95,103,26,0.36,0,0,0,0,0,0,6.79,3,11,0,0,0,0,0,0,1,1,0
Austin Riley,ATL,Austin Riley (ATL),38,100,102,2,0.348,0,0,0,0,0,0,17.9,13,23,0,0,0,1,0,1,0,1,0
Shohei Ohtani,LAD,Shohei Ohtani (LAD),38,101,98,19,0.384,0,0,0,0,0,0,11.48,4,24,0,0,0,0,0,0,0,1,1
Rafael Devers,BOS,Rafael Devers (BOS),35,93,100,4,0.356,0,0,0,0,0,0,22.58,15,35,0,0,0,1,0,1,0,1,0
Alex Bregman,HOU,Alex Bregman (HOU),22,91,86,2,0.365,0,0,0,0,0,0,88.09,61,120,0,0,0,1,0,1,0,1,0
Matt Olson,ATL,Matt Olson (ATL),40,101,111,1,0.366,0,0,0,0,0,0,14.67,9,21,0,1,0,0,0,1,0,1,0
Mike Trout,LAA,Mike Trout (LAA),33,83,83,3,0.367,0,0,0,0,0,0,57.75,34,85,0,0,0,0,0,0,1,1,0
Francisco Lindor,NYM,Francisco Lindor (NYM),27,92,87,22,0.33,0,0,0,0,0,0,23.93,14,35,0,0,0,0,1,1,0,1,0
Marcus Semien,TEX,Marcus Semien (TEX),27,99,85,15,0.332,0,0,0,0,0,0,30.12,16,41,0,0,1,0,0,1,0,1,0
Will Smith,LAD,Will Smith (LAD),21,71,75,2,0.353,0,0,0,0,0,0,85.01,49,109,1,0,0,0,0,0,0,1,0
Trea Turner,PHI,Trea Turner (PHI),23,97,82,29,0.332,0,0,0,0,0,0,12.66,8,19,0,0,0,0,1,1,0,1,0
Bryce Harper,PHI,Bryce Harper (PHI),29,94,91,13,0.388,0,0,0,0,0,0,17.23,10,24,0,1,0,0,0,1,0,1,0
Michael Harris II,ATL,Michael Harris II (ATL),22,88,78,24,0.334,0,0,0,0,0,0,26.03,15,35,0,0,0,0,0,0,1,1,0
Bo Bichette,TOR,Bo Bichette (TOR),22,85,83,11,0.332,0,0,0,0,0,0,39.42,26,56,0,0,0,0,1,1,0,1,0
Jose Altuve,HOU,Jose Altuve (HOU),24,96,73,15,0.353,0,0,0,0,0,0,40.66,26,66,0,0,1,0,0,1,0,1,0
Royce Lewis,MIN,Royce Lewis (MIN),26,77,82,13,0.335,0,0,0,0,0,0,48.18,31,70,0,0,0,1,0,1,0,1,0
Dansby Swanson,CHC,Dansby Swanson (CHC),23,83,82,11,0.325,0,0,0,0,0,0,127.94,90,186,0,0,0,0,1,1,0,1,0
Vladimir Guerrero Jr.,TOR,Vladimir Guerrero Jr. (TOR),31,89,96,6,0.361,0,0,0,0,0,0,30.46,13,45,0,1,0,0,0,1,0,1,0
Xander Bogaerts,SDP,Xander Bogaerts (SDP),18,81,70,12,0.347,0,0,0,0,0,0,101.31,70,130,0,0,1,0,1,1,0,1,0
Ozzie Albies,ATL,Ozzie Albies (ATL),27,93,92,13,0.326,0,0,0,0,0,0,23.41,15,34,0,0,1,0,0,1,0,1,0
William Contreras,MIL,William Contreras (MIL),22,75,73,4,0.348,0,0,0,0,0,0,78.42,61,97,1,0,0,0,0,0,0,1,0
Luis Robert Jr.,CHW,Luis Robert Jr. (CHW),30,84,85,19,0.316,0,0,0,0,0,0,32.72,20,57,0,0,0,0,0,0,1,1,0
Andrés Giménez,CLE,Andres Gimenez (CLE),16,76,66,27,0.326,0,0,0,0,0,0,104.31,82,133,0,0,1,0,0,1,0,1,0
J.T. Realmuto,PHI,J.T. Realmuto (PHI),20,69,70,15,0.319,0,0,0,0,0,0,76.63,56,102,1,0,0,0,0,0,0,1,0
Sean Murphy,ATL,Sean Murphy (ATL),20,62,64,0,0.345,0,0,0,0,0,0,146.67,115,183,1,0,0,0,0,0,0,1,0
Manny Machado,SDP,Manny Machado (SDP),29,81,93,6,0.336,0,0,0,0,0,0,54.91,37,71,0,0,0,1,0,1,0,1,0
Ketel Marte,ARI,Ketel Marte (ARI),19,85,77,7,0.35,0,0,0,0,0,0,113.74,84,150,0,0,1,0,0,1,0,1,0
Brandon Nimmo,NYM,Brandon Nimmo (NYM),19,86,65,4,0.361,0,0,0,0,0,0,193.47,155,250,0,0,0,0,0,0,1,1,0
Gleyber Torres,NYY,Gleyber Torres (NYY),24,83,76,13,0.339,0,0,0,0,0,0,73.79,50,105,0,0,1,0,0,1,0,1,0
Willy Adames,MIL,Willy Adames (MIL),27,78,84,6,0.319,0,0,0,0,0,0,186.36,130,232,0,0,0,0,1,1,0,1,0
Willson Contreras,STL,Willson Contreras (STL),21,62,64,5,0.348,0,0,0,0,0,0,142.59,111,167,1,0,0,0,0,0,0,1,0
Carlos Correa,MIN,Carlos Correa (MIN),21,70,71,0,0.338,0,0,0,0,0,0,245.39,121,323,0,0,0,0,1,1,0,1,0
J.P. Crawford,SEA,J.P. Crawford (SEA),12,80,57,3,0.35,0,0,0,0,0,0,318.47,190,360,0,0,0,0,1,1,0,1,0
Nico Hoerner,CHC,Nico Hoerner (CHC),9,82,62,34,0.34,0,0,0,0,0,0,65.19,37,92,0,0,1,0,1,1,0,1,0
Nolan Arenado,STL,Nolan Arenado (STL),25,73,90,4,0.32,0,0,0,0,0,0,105.81,52,140,0,0,0,1,0,1,0,1,0
Yandy Díaz,TBR,Yandy Diaz (TBR),17,81,68,1,0.384,0,0,0,0,0,0,134.93,99,184,0,1,0,0,0,1,0,1,0
Gabriel Moreno,ARI,Gabriel Moreno (ARI),10,52,55,6,0.343,0,0,0,0,0,0,161.74,129,221,1,0,0,0,0,0,0,1,0
Pete Alonso,NYM,Pete Alonso (NYM),41,89,109,4,0.34,0,0,0,0,0,0,24.84,15,35,0,1,0,0,0,1,0,1,0
Jung Hoo Lee,SFG,Jung Hoo Lee (SFG),10,71,60,9,0.352,0,0,0,0,0,0,230.91,124,301,0,0,0,0,0,0,1,1,0
Ke'Bryan Hayes,PIT,Ke'Bryan Hayes (PIT),18,73,68,14,0.322,0,0,0,0,0,0,148.18,115,201,0,0,0,1,0,1,0,1,0
Cal Raleigh,SEA,Cal Raleigh (SEA),27,62,71,1,0.297,0,0,0,0,0,0,143.03,108,185,1,0,0,0,0,0,0,1,0
Edouard Julien,MIN,Edouard Julien (MIN),16,73,54,8,0.36,0,0,0,0,0,0,208.45,141,276,0,0,1,0,0,1,0,1,0
Luis Arraez,MIA,Luis Arraez (MIA),8,75,62,4,0.37,0,0,0,0,0,0,164.61,110,238,0,0,1,0,0,1,0,1,0
Matt Chapman,SFG,Matt Chapman (SFG),23,71,70,3,0.325,0,0,0,0,0,0,280.53,192,359,0,0,0,1,0,1,0,1,0
Ha-Seong Kim,SDP,Ha-Seong Kim (SDP),14,72,60,27,0.328,0,0,0,0,0,0,87.64,56,127,0,0,1,1,1,1,0,1,0
Bryan Reynolds,PIT,Bryan Reynolds (PIT),24,86,81,10,0.345,0,0,0,0,0,0,91.48,70,142,0,0,0,0,0,0,1,1,0
Logan O'Hoppe,LAA,Logan O'Hoppe (LAA),23,57,66,2,0.327,0,0,0,0,0,0,156.93,121,199,1,0,0,0,0,0,0,1,0
Josh Jung,TEX,Josh Jung (TEX),26,73,81,3,0.312,0,0,0,0,0,0,137.35,96,214,0,0,0,1,0,1,0,1,0
Yainer Diaz,HOU,Yainer Diaz (HOU),21,57,68,1,0.308,0,0,0,0,0,0,106.92,85,150,1,0,0,0,0,0,0,1,0
Jonah Heim,TEX,Jonah Heim (TEX),17,54,65,2,0.309,0,0,0,0,0,0,177.97,140,226,1,0,0,0,0,0,0,1,0
