Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Ronald Acuña Jr.,ATL,Ronald Acuna Jr. (ATL),33,120,89,57,0.393,0,0,0,0,0,0,1.04,1,3,0,0,0,0,0,0,1,1,0
Mookie Betts,LAD,Mookie Betts (LAD),34,103,100,14,0.375,0,0,0,0,0,0,4.84,2,11,0,0,1,0,1,1,1,1,0
Aaron Judge,NYY,Aaron Judge (NYY),46,100,112,7,0.394,0,0,0,0,0,0,13.59,8,21,0,0,0,0,0,0,1,1,0
Juan Soto,NYY,Juan Soto (NYY),35,106,95,10,0.416,0,0,0,0,0,0,9.43,3,15,0,0,0,0,0,0,1,1,0
Adley Rutschman,BAL,Adley Rutschman (BAL),18,75,71,2,0.363,0,0,0,0,0,0,54.61,33,81,1,0,0,0,0,0,0,1,0
Corey Seager,TEX,Corey Seager (TEX),32,82,93,2,0.368,0,0,0,0,0,0,30.2,16,51,0,0,0,0,1,1,0,1,0
Yordan Alvarez,HOU,Yordan Alvarez (HOU),37,95,102,0,0.394,0,0,0,0,0,0,15.83,12,22,0,0,0,0,0,0,1,1,0
José Ramírez,CLE,Jose Ramirez (CLE),28,94,93,29,0.354,0,0,0,0,0,0,15.75,11,23,0,0,0,1,0,1,0,1,0
Julio Rodríguez,SEA,Julio Rodriguez (SEA),31,102,88,33,0.348,0,0,0,0,0,0,3.31,2,8,0,0,0,0,0,0,1,1,0
Fernando Tatis Jr.,SDP,Fernando Tatis Jr. (SDP),34,101,94,31,0.349,0,0,0,0,0,0,8.18,4,14,0,0,0,0,0,0,1,1,0
Shohei Ohtani,LAD,Shohei Ohtani (LAD),39,108,103,22,0.391,0,0,0,0,0,0,11.48,4,24,0,0,0,0,0,0,0,1,1
Will Smith,LAD,Will Smith (LAD),21,68,71,2,0.355,0,0,0,0,0,0,85.01,49,109,1,0,0,0,0,0,0,1,0
Freddie Freeman,LAD,Freddie Freeman (LAD),24,99,92,16,0.384,0,0,0,0,0,0,9.23,3,16,0,1,0,0,0,1,0,1,0
Rafael Devers,BOS,Rafael Devers (BOS),35,89,104,5,0.354,0,0,0,0,0,0,22.58,15,35,0,0,0,1,0,1,0,1,0
Austin Riley,ATL,Austin Riley (ATL),37,97,103,2,0.347,0,0,0,0,0,0,17.9,13,23,0,0,0,1,0,1,0,1,0
Alex Bregman,HOU,Alex Bregman (HOU),24,87,82,2,0.362,0,0,0,0,0,0,88.09,61,120,0,0,0,1,0,1,0,1,0
Kyle Tucker,HOU,Kyle Tucker (HOU),30,100,92,25,0.357,0,0,0,0,0,0,6.79,3,11,0,0,0,0,0,0,1,1,0
Corbin Carroll,ARI,Corbin Carroll (ARI),22,100,75,39,0.355,0,0,0,0,0,0,6.31,2,11,0,0,0,0,0,0,1,1,0
Bobby Witt Jr.,KCR,Bobby Witt Jr. (KCR),27,102,82,45,0.323,0,0,0,0,0,0,2.68,1,6,0,0,0,0,1,1,0,1,0
Francisco Lindor,NYM,Francisco Lindor (NYM),28,89,83,22,0.329,0,0,0,0,0,0,23.93,14,35,0,0,0,0,1,1,0,1,0
Matt Olson,ATL,Matt Olson (ATL),42,101,108,2,0.366,0,0,0,0,0,0,14.67,9,21,0,1,0,0,0,1,0,1,0
Mike Trout,LAA,Mike Trout (LAA),35,83,89,3,0.369,0,0,0,0,0,0,57.75,34,85,0,0,0,0,0,0,1,1,0
Gunnar Henderson,BAL,Gunnar Henderson (BAL),24,83,79,11,0.33,0,0,0,0,0,0,29.88,16,42,0,0,0,1,1,1,0,1,0
