Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Ronald Acuña Jr.,ATL,Ronald Acuna Jr. (ATL),38,126,100,52,0.408,0,0,0,0,0,0,1.04,1,3,0,0,0,0,0,0,1,1,0
Mookie Betts,LAD,Mookie Betts (LAD),32,104,98,13,0.381,0,0,0,0,0,0,4.84,2,11,0,0,1,0,1,1,1,1,0
Aaron Judge,NYY,Aaron Judge (NYY),45,100,109,7,0.399,0,0,0,0,0,0,13.59,8,21,0,0,0,0,0,0,1,1,0
Juan Soto,NYY,Juan Soto (NYY),36,107,96,10,0.415,0,0,0,0,0,0,9.43,3,15,0,0,0,0,0,0,1,1,0
Fernando Tatis Jr.,SDP,Fernando Tatis Jr. (SDP),36,105,100,32,0.361,0,0,0,0,0,0,8.18,4,14,0,0,0,0,0,0,1,1,0
Adley Rutschman,BAL,Adley Rutschman (BAL),18,77,71,3,0.366,0,0,0,0,0,0,54.61,33,81,1,0,0,0,0,0,0,1,0
Corey Seager,TEX,Corey Seager (TEX),32,83,94,2,0.373,0,0,0,0,0,0,30.2,16,51,0,0,0,0,1,1,0,1,0
Bobby Witt Jr.,KCR,Bobby Witt Jr. (KCR),31,107,91,48,0.338,0,0,0,0,0,0,2.68,1,6,0,0,0,0,1,1,0,1,0
Yordan Alvarez,HOU,Yordan Alvarez (HOU),39,96,105,0,0.396,0,0,0,0,0,0,15.83,12,22,0,0,0,0,0,0,1,1,0
Will Smith,LAD,Will Smith (LAD),22,72,74,2,0.363,0,0,0,0,0,0,85.01,49,109,1,0,0,0,0,0,0,1,0
Julio Rodríguez,SEA,Julio Rodriguez (SEA),31,102,87,34,0.35,0,0,0,0,0,0,3.31,2,8,0,0,0,0,0,0,1,1,0
José Ramírez,CLE,Jose Ramirez (CLE),27,93,93,29,0.352,0,0,0,0,0,0,15.75,11,23,0,0,0,1,0,1,0,1,0
Shohei Ohtani,LAD,Shohei Ohtani (LAD),39,108,104,24,0.392,0,0,0,0,0,0,11.48,4,24,0,0,0,0,0,0,0,1,1
Freddie Freeman,LAD,Freddie Freeman (LAD),26,102,95,15,0.387,0,0,0,0,0,0,9.23,3,16,0,1,0,0,0,1,0,1,0
Austin Riley,ATL,Austin Riley (ATL),38,100,107,2,0.355,0,0,0,0,0,0,17.9,13,23,0,0,0,1,0,1,0,1,0
Alex Bregman,HOU,Alex Bregman (HOU),24,88,83,2,0.364,0,0,0,0,0,0,88.09,61,120,0,0,0,1,0,1,0,1,0
Corbin Carroll,ARI,Corbin Carroll (ARI),21,100,74,44,0.358,0,0,0,0,0,0,6.31,2,11,0,0,0,0,0,0,1,1,0
Rafael Devers,BOS,Rafael Devers (BOS),36,90,104,4,0.354,0,0,0,0,0,0,22.58,15,35,0,0,0,1,0,1,0,1,0
Gunnar Henderson,BAL,Gunnar Henderson (BAL),25,84,79,12,0.339,0,0,0,0,0,0,29.88,16,42,0,0,0,1,1,1,0,1,0
Mike Trout,LAA,Mike Trout (LAA),35,84,90,3,0.374,0,0,0,0,0,0,57.75,34,85,0,0,0,0,0,0,1,1,0
Francisco Lindor,NYM,Francisco Lindor (NYM),28,90,82,21,0.331,0,0,0,0,0,0,23.93,14,35,0,0,0,0,1,1,0,1,0
Vladimir Guerrero Jr.,TOR,Vladimir Guerrero Jr. (TOR),34,95,102,6,0.369,0,0,0,0,0,0,30.46,13,45,0,1,0,0,0,1,0,1,0
Sean Murphy,ATL,Sean Murphy (ATL),22,64,66,0,0.349,0,0,0,0,0,0,146.67,115,183,1,0,0,0,0,0,0,1,0
William Contreras,MIL,William Contreras (MIL),22,72,76,3,0.341,0,0,0,0,0,0,78.42,61,97,1,0,0,0,0,0,0,1,0
Kyle Tucker,HOU,Kyle Tucker (HOU),29,99,90,23,0.36,0,0,0,0,0,0,6.79,3,11,0,0,0,0,0,0,1,1,0
