Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Ronald Acuña Jr.,ATL,Ronald Acuna Jr. (ATL),43,140,116,51,0.403,0,0,0,0,0,0,1.04,1,3,0,0,0,0,0,0,1,1,0
Juan Soto,NYY,Juan Soto (NYY),33,101,103,11,0.421,0,0,0,0,0,0,9.43,3,15,0,0,0,0,0,0,1,1,0
Aaron Judge,NYY,Aaron Judge (NYY),40,89,101,5,0.384,0,0,0,0,0,0,13.59,8,21,0,0,0,0,0,0,1,1,0
Mookie Betts,LAD,Mookie Betts (LAD),31,112,100,12,0.381,0,0,0,0,0,0,4.84,2,11,0,0,1,0,1,1,1,1,0
Fernando Tatis Jr.,SDP,Fernando Tatis Jr. (SDP),36,102,101,26,0.342,0,0,0,0,0,0,8.18,4,14,0,0,0,0,0,0,1,1,0
Julio Rodríguez,SEA,Julio Rodriguez (SEA),32,100,104,34,0.336,0,0,0,0,0,0,3.31,2,8,0,0,0,0,0,0,1,1,0
Adley Rutschman,BAL,Adley Rutschman (BAL),18,77,69,2,0.362,0,0,0,0,0,0,54.61,33,81,1,0,0,0,0,0,0,1,0
José Ramírez,CLE,Jose Ramirez (CLE),26,90,95,22,0.354,0,0,0,0,0,0,15.75,11,23,0,0,0,1,0,1,0,1,0
Trea Turner,PHI,Trea Turner (PHI),24,98,85,27,0.342,0,0,0,0,0,0,12.66,8,19,0,0,0,0,1,1,0,1,0
Francisco Lindor,NYM,Francisco Lindor (NYM),25,92,89,20,0.332,0,0,0,0,0,0,23.93,14,35,0,0,0,0,1,1,0,1,0
Yordan Alvarez,HOU,Yordan Alvarez (HOU),36,92,109,1,0.393,0,0,0,0,0,0,15.83,12,22,0,0,0,0,0,0,1,1,0
Corey Seager,TEX,Corey Seager (TEX),26,81,84,2,0.367,0,0,0,0,0,0,30.2,16,51,0,0,0,0,1,1,0,1,0
Gunnar Henderson,BAL,Gunnar Henderson (BAL),26,103,93,12,0.344,0,0,0,0,0,0,29.88,16,42,0,0,0,1,1,1,0,1,0
