,PosC,Pos1B,Pos2B,Pos3B,PosSS,PosINF,PosOF,PosUT,PosP
"Ronald Acuna Jr. (ATL)",0,0,0,0,0,0,1,1,0
"Bobby Witt Jr. (KCR)",0,0,0,0,1,1,0,1,0
"Julio Rodriguez (SEA)",0,0,0,0,0,0,1,1,0
"Mookie Betts (LAD)",0,0,1,0,0,1,1,1,0
"Corbin Carroll (ARI)",0,0,0,0,0,0,1,1,0
"Spencer Strider (ATL)",0,0,0,0,0,0,0,0,1
"Kyle Tucker (HOU)",0,0,0,0,0,0,1,1,0
"Fernando Tatis Jr. (SDP)",0,0,0,0,0,0,1,1,0
"Freddie Freeman (LAD)",0,1,0,0,0,1,0,1,0
"Juan Soto (NYY)",0,0,0,0,0,0,1,1,0
"Aaron Judge (NYY)",0,0,0,0,0,0,1,1,0
"Trea Turner (PHI)",0,0,0,0,1,1,0,1,0
"Shohei Ohtani (LAD)",0,0,0,0,0,0,0,1,0
"Gerrit Cole (NYY)",0,0,0,0,0,0,0,0,1
"Jose Ramirez (CLE)",0,0,0,1,0,1,0,1,0
"Yordan Alvarez (HOU)",0,0,0,0,0,0,1,1,0
"Matt Olson (ATL)",0,1,0,0,0,1,0,1,0
"Bryce Harper (PHI)",0,1,0,0,0,1,0,1,0
"Austin Riley (ATL)",0,0,0,1,0,1,0,1,0
"Corbin Burnes (BAL)",0,0,0,0,0,0,0,0,1
"Ozzie Albies (ATL)",0,0,1,0,0,1,0,1,0
"Francisco Lindor (NYM)",0,0,0,0,1,1,0,1,0
"Rafael Devers (BOS)",0,0,0,1,0,1,0,1,0
"Zack Wheeler (PHI)",0,0,0,0,0,0,0,0,1
"Elly De La Cruz (CIN)",0,0,0,1,1,1,0,1,0
"Pete Alonso (NYM)",0,1,0,0,0,1,0,1,0
"Michael Harris II (ATL)",0,0,0,0,0,0,1,1,0
"Vladimir Guerrero Jr. (TOR)",0,1,0,0,0,1,0,1,0
"Kevin Gausman (TOR)",0,0,0,0,0,0,0,0,1
"Luis Castillo (SEA)",0,0,0,0,0,0,0,0,1
"Marcus Semien (TEX)",0,0,1,0,0,1,0,1,0
"Corey Seager (TEX)",0,0,0,0,1,1,0,1,0
"George Kirby (SEA)",0,0,0,0,0,0,0,0,1
"Gunnar Henderson (BAL)",0,0,0,1,1,1,0,1,0
"Luis Robert Jr. (CHW)",0,0,0,0,0,0,1,1,0
"Pablo Lopez (MIN)",0,0,0,0,0,0,0,0,1
"Bo Bichette (TOR)",0,0,0,0,1,1,0,1,0
"Yoshinobu Yamamoto (LAD)",0,0,0,0,0,0,0,0,1
"Zac Gallen (ARI)",0,0,0,0,0,0,0,0,1
"CJ Abrams (WSN)",0,0,0,0,1,1,0,1,0
"Tyler Glasnow (LAD)",0,0,0,0,0,0,0,0,1
"Jose Altuve (HOU)",0,0,1,0,0,1,0,1,0
"Edwin Diaz (NYM)",0,0,0,0,0,0,0,0,1
"Devin Williams (MIL)",0,0,0,0,0,0,0,0,1
"Randy Arozarena (TBR)",0,0,0,0,0,0,1,1,0
"Josh Hader (HOU)",0,0,0,0,0,0,0,0,1
"Adolis Garcia (TEX)",0,0,0,0,0,0,1,1,0
"Tarik Skubal (DET)",0,0,0,0,0,0,0,0,1
"Jhoan Duran (MIN)",0,0,0,0,0,0,0,0,1
"Aaron Nola (PHI)",0,0,0,0,0,0,0,0,1
"Logan Webb (SFG)",0,0,0,0,0,0,0,0,1
"Freddy Peralta (MIL)",0,0,0,0,0,0,0,0,1
"Adley Rutschman (BAL)",1,0,0,0,0,1,0,1,0
"Emmanuel Clase (CLE)",0,0,0,0,0,0,0,0,1
"Royce Lewis (MIN)",0,0,0,1,0,1,0,1,0
"Nolan Jones (COL)",0,0,0,0,0,0,1,1,0
"Camilo Doval (SFG)",0,0,0,0,0,0,0,0,1
"Framber Valdez (HOU)",0,0,0,0,0,0,0,0,1
"Raisel Iglesias (ATL)",0,0,0,0,0,0,0,0,1
"Max Fried (ATL)",0,0,0,0,0,0,0,0,1
"Logan Gilbert (SEA)",0,0,0,0,0,0,0,0,1
"Cody Bellinger (CHC)",0,1,0,0,0,1,1,1,0
"Manny Machado (SDP)",0,0,0,1,0,1,0,1,0
"Nico Hoerner (CHC)",0,0,1,0,1,1,0,1,0
"Grayson Rodriguez (BAL)",0,0,0,0,0,0,0,0,1
"David Bednar (PIT)",0,0,0,0,0,0,0,0,1
"Blake Snell ()",0,0,0,0,0,0,0,0,1
"Bobby Miller (LAD)",0,0,0,0,0,0,0,0,1
"Jordan Romano (TOR)",0,0,0,0,0,0,0,0,1
"Mike Trout (LAA)",0,0,0,0,0,0,1,1,0
"Matt McLain (CIN)",0,0,1,0,1,1,0,1,0
"Jazz Chisholm Jr. (MIA)",0,0,0,0,0,0,1,1,0
"J.T. Realmuto (PHI)",1,0,0,0,0,1,0,1,0
"Eury Perez (MIA)",0,0,0,0,0,0,0,0,1
"Alexis Diaz (CIN)",0,0,0,0,0,0,0,0,1
"Oneil Cruz (PIT)",0,0,0,0,1,1,0,1,0
"Zach Eflin (TBR)",0,0,0,0,0,0,0,0,1
"William Contreras (MIL)",1,0,0,0,0,1,0,1,0
"Jesus Luzardo (MIA)",0,0,0,0,0,0,0,0,1
"Christian Yelich (MIL)",0,0,0,0,0,0,1,1,0
"Josh Lowe (TBR)",0,0,0,0,0,0,1,1,0
"Gleyber Torres (NYY)",0,0,1,0,0,1,0,1,0
"Paul Sewald (ARI)",0,0,0,0,0,0,0,0,1
"Will Smith (LAD)",1,0,0,0,0,1,0,1,0
"Andres Munoz (SEA)",0,0,0,0,0,0,0,0,1
"Joe Ryan (MIN)",0,0,0,0,0,0,0,0,1
"Paul Goldschmidt (STL)",0,1,0,0,0,1,0,1,0
"Evan Phillips (LAD)",0,0,0,0,0,0,0,0,1
"Ha-Seong Kim (SDP)",0,0,1,1,1,1,0,1,0
"Pete Fairbanks (TBR)",0,0,0,0,0,0,0,0,1
"Joe Musgrove (SDP)",0,0,0,0,0,0,0,0,1
"Bryan Reynolds (PIT)",0,0,0,0,0,0,1,1,0
"Kyle Schwarber (PHI)",0,0,0,0,0,0,1,1,0
"Ryan Helsley (STL)",0,0,0,0,0,0,0,0,1
"Cole Ragans (KCR)",0,0,0,0,0,0,0,0,1
"Christian Walker (ARI)",0,1,0,0,0,1,0,1,0
"Alex Bregman (HOU)",0,0,0,1,0,1,0,1,0
"Tanner Scott (MIA)",0,0,0,0,0,0,0,0,1
