,HR,R,RBI,SB,W,SOLD,SO
"Ronald Acuna Jr. (ATL)",38,126,102,52,0,0,0
"Bobby Witt Jr. (KCR)",31,108,91,48,0,0,0
"Julio Rodriguez (SEA)",31,103,88,34,0,0,0
"Mookie Betts (LAD)",32,106,100,13,0,0,0
"Corbin Carroll (ARI)",21,101,76,43,0,0,0
"Spencer Strider (ATL)",0,0,0,0,15,0,251
"Kyle Tucker (HOU)",29,101,92,23,0,0,0
"Fernando Tatis Jr. (SDP)",36,107,102,32,0,0,0
"Freddie Freeman (LAD)",26,103,96,15,0,0,0
"Juan Soto (NYY)",36,108,97,10,0,0,0
"Aaron Judge (NYY)",45,101,110,7,0,0,0
"Trea Turner (PHI)",22,96,83,33,0,0,0
"Shohei Ohtani (LAD)",39,109,105,24,0,0,0
"Gerrit Cole (NYY)",0,0,0,0,12,0,190
"Jose Ramirez (CLE)",27,94,94,29,0,0,0
"Yordan Alvarez (HOU)",39,98,108,0,0,0,0
"Matt Olson (ATL)",40,99,108,2,0,0,0
"Bryce Harper (PHI)",27,94,90,13,0,0,0
"Austin Riley (ATL)",38,100,110,2,0,0,0
"Corbin Burnes (BAL)",0,0,0,0,12,0,200
"Ozzie Albies (ATL)",25,91,87,18,0,0,0
"Francisco Lindor (NYM)",28,90,83,21,0,0,0
"Rafael Devers (BOS)",36,91,105,4,0,0,0
"Zack Wheeler (PHI)",0,0,0,0,13,0,192
"Elly De La Cruz (CIN)",19,82,66,38,0,0,0
"Pete Alonso (NYM)",39,86,103,4,0,0,0
"Michael Harris II (ATL)",21,89,75,26,0,0,0
"Vladimir Guerrero Jr. (TOR)",35,97,102,6,0,0,0
"Kevin Gausman (TOR)",0,0,0,0,12,0,208
"Luis Castillo (SEA)",0,0,0,0,13,0,200
"Marcus Semien (TEX)",28,95,90,18,0,0,0
"Corey Seager (TEX)",31,82,94,2,0,0,0
"George Kirby (SEA)",0,0,0,0,12,0,171
"Gunnar Henderson (BAL)",25,85,81,12,0,0,0
"Luis Robert Jr. (CHW)",28,84,80,19,0,0,0
"Pablo Lopez (MIN)",0,0,0,0,12,0,202
"Bo Bichette (TOR)",20,84,79,14,0,0,0
"Yoshinobu Yamamoto (LAD)",0,0,0,0,12,0,176
"Zac Gallen (ARI)",0,0,0,0,13,0,190
"CJ Abrams (WSN)",17,80,61,36,0,0,0
"Tyler Glasnow (LAD)",0,0,0,0,12,0,176
"Jose Altuve (HOU)",23,87,78,12,0,0,0
"Edwin Diaz (NYM)",0,0,0,0,3,34,97
"Devin Williams (MIL)",0,0,0,0,4,31,80
"Randy Arozarena (TBR)",26,93,76,31,0,0,0
"Josh Hader (HOU)",0,0,0,0,3,36,86
"Adolis Garcia (TEX)",32,88,89,16,0,0,0
"Tarik Skubal (DET)",0,0,0,0,10,0,178
"Jhoan Duran (MIN)",0,0,0,0,4,35,86
"Aaron Nola (PHI)",0,0,0,0,12,0,195
"Logan Webb (SFG)",0,0,0,0,12,0,172
"Freddy Peralta (MIL)",0,0,0,0,11,0,194
"Adley Rutschman (BAL)",18,77,72,3,0,0,0
"Emmanuel Clase (CLE)",0,0,0,0,4,35,65
"Royce Lewis (MIN)",24,76,73,16,0,0,0
"Nolan Jones (COL)",22,83,72,15,0,0,0
"Camilo Doval (SFG)",0,0,0,0,5,34,78
"Framber Valdez (HOU)",0,0,0,0,14,0,188
"Raisel Iglesias (ATL)",0,0,0,0,4,33,73
"Max Fried (ATL)",0,0,0,0,13,0,156
"Logan Gilbert (SEA)",0,0,0,0,12,0,183
"Cody Bellinger (CHC)",22,78,76,19,0,0,0
"Manny Machado (SDP)",29,80,90,7,0,0,0
"Nico Hoerner (CHC)",8,83,59,33,0,0,0
"Grayson Rodriguez (BAL)",0,0,0,0,11,0,172
"David Bednar (PIT)",0,0,0,0,3,31,73
"Blake Snell ()",0,0,0,0,11,0,198
"Bobby Miller (LAD)",0,0,0,0,12,0,149
"Jordan Romano (TOR)",0,0,0,0,4,31,69
"Mike Trout (LAA)",35,84,91,3,0,0,0
"Matt McLain (CIN)",23,79,74,19,0,0,0
"Jazz Chisholm Jr. (MIA)",24,82,68,36,0,0,0
"J.T. Realmuto (PHI)",21,72,70,17,0,0,0
"Eury Perez (MIA)",0,0,0,0,9,0,161
"Alexis Diaz (CIN)",0,0,0,0,5,32,80
"Oneil Cruz (PIT)",24,80,74,26,0,0,0
"Zach Eflin (TBR)",0,0,0,0,12,0,161
"William Contreras (MIL)",22,73,78,3,0,0,0
"Jesus Luzardo (MIA)",0,0,0,0,11,0,191
"Christian Yelich (MIL)",17,86,68,24,0,0,0
"Josh Lowe (TBR)",16,65,57,22,0,0,0
"Gleyber Torres (NYY)",25,85,81,14,0,0,0
"Paul Sewald (ARI)",0,0,0,0,4,32,75
"Will Smith (LAD)",23,73,75,2,0,0,0
"Andres Munoz (SEA)",0,0,0,0,4,32,78
"Joe Ryan (MIN)",0,0,0,0,11,0,181
"Paul Goldschmidt (STL)",26,87,86,8,0,0,0
"Evan Phillips (LAD)",0,0,0,0,4,32,70
"Ha-Seong Kim (SDP)",15,76,59,24,0,0,0
"Pete Fairbanks (TBR)",0,0,0,0,3,32,74
"Joe Musgrove (SDP)",0,0,0,0,10,0,152
"Bryan Reynolds (PIT)",21,82,84,8,0,0,0
"Kyle Schwarber (PHI)",42,93,110,3,0,0,0
"Ryan Helsley (STL)",0,0,0,0,4,30,79
"Cole Ragans (KCR)",0,0,0,0,10,0,172
"Christian Walker (ARI)",28,81,93,5,0,0,0
"Alex Bregman (HOU)",24,89,85,2,0,0,0
"Tanner Scott (MIA)",0,0,0,0,4,31,88
"Justin Steele (CHC)",0,0,0,0,11,0,166
"Andres Gimenez (CLE)",16,80,64,32,0,0,0
"Clay Holmes (NYY)",0,0,0,0,4,33,66
"Nolan Arenado (STL)",23,71,81,4,0,0,0
"Tanner Bibee (CLE)",0,0,0,0,11,0,168
"Dylan Cease (CHW)",0,0,0,0,10,0,200
"Xander Bogaerts (SDP)",18,80,77,9,0,0,0
"Craig Kimbrel (BAL)",0,0,0,0,4,28,79
"Yainer Diaz (HOU)",19,57,65,1,0,0,0
"Bryson Stott (PHI)",12,74,60,22,0,0,0
"Triston Casas (BOS)",25,73,78,1,0,0,0
"Nick Castellanos (PHI)",25,75,86,7,0,0,0
"Seiya Suzuki (CHC)",21,79,76,12,0,0,0
"Sonny Gray (STL)",0,0,0,0,10,0,153
